,Product ID,Company,Product Name,Price,Rating,Total Ratings,Total Questions Answered,Specifications,Link
105,106,Google,Google Pixel 4a 5G 6GB Ram 128GB Rom,"Rs. 56,000",4.8,4,31,"[""Introducing the Google Pixel 4a 5G – Your gateway to the future of mobile technology. This sleek and sophisticated smartphone combines the best of Google's innovation in a budget-friendly package.""]",https://www.daraz.pk/products/6gb-5g-4a-128gb-i434321554-s2085759583.html?search=1
106,107,Samsung,"Samsung Galaxy A13 - 6.6"" Inch display - 4GB RAM","Rs. 43,499",4.7,48,71,"['Samsung Galaxy A13 - 6.6"" Inch display - 4GB RAM']",https://www.daraz.pk/products/samsung-galaxy-a13-66-inch-display-4gb-ram-i290940312-s1563556886.html?search=1
107,108,REDMI,REDMI A2 PLUS - 3+3GB RAM 64GB ROM - 5000 mAh Battery,"Rs. 19,499",5.0,1,1,['General FeaturesRelease Date2023-08-15SIM SupportDual SIMPhone Dimensions164.9 x 76.75 x 9.09 mmPhone Weight192 gOperating SystemAndroid 12 (Go Edition)DisplayScreen Size6.52 InchesScreen Resolution1600 x 720 PixelsScreen TypeHD+ Dot Drop displayScreen ProtectionN/AMemoryInternal Memory32 GBRAM2/ 3 GBCard SlotSupports expandable storage up to 1TBPerformanceProcessorOcta-coreGPUPowerVR GE8320BatteryType5000 mAhCameraFront Camera5 MPFront Flash LightN/AFront Video Recording1080p | 1920 x 1080 at 30fpsBack Flash LightYesBack Camera8 MP + 0.08 MPBack Video Recording1080p | 1920 x 1080 at 30fpsConnectivityBluetoothYes3GYes4G/LTEYes5GNoRadioYesWiFiYesNFCNo'],https://www.daraz.pk/products/a2-3-3gb-64gb-5000-mah-i430536989-s2053583383.html?search=1
108,109,Infinix,Infinix Smart 7 || 4GB + 3GB Ram 64GB Rom || 6.6 Inches HD + Sunlight Display || 5000 mAh- Fast charging 10W,"Rs. 25,999",4.8,31,7,"['BuildOSAndroid 12 OS Dimensions163.8 x 75.6 x 8.7 mm Weight188 g SIMDual Sim, Dual Standby (Micro-SIM) ColorsPolar Black, Coastal Green, Iceland White, Peacock Blue Frequency2G BandSIM1: GSM 850 / 900 / 1800 / 1900']",https://www.daraz.pk/products/7-ace-4gb-3gb-64gb-66-hd-ace-5000-mah-10w-i420943912-s1987989151.html?search=1
109,110,Realme,"Realme C33 , 4GB RAM 64GB ROM , Fingersensor , BackCamera 50MP , 5000mAh Battery","Rs. 30,999",4.4,11,32,['6.5 InchesDisplay'],https://www.daraz.pk/products/4gb-c33-64gb-50mp-5000mah-i432451761-s2064642431.html?search=1
110,111,Tecno,Tecno Camon 20 - 8GB+8GB Ram 256GB Rom - 5000mAh Battery - In Display Fingerprint,"Rs. 46,999",5.0,5,-,"['General FeaturesRelease Date2023-05-09SIM SupportDual SIM (Nano-SIM, dual stand-by)Phone Dimensions163.4 x 76.7 x 8.2 mmPhone WeightN/AOperating SystemAndroid 13, HIOS 13DisplayScreen Size6.67 inchesScreen Resolution1080 x 2400 pixelsScreen TypeAMOLEDScreen ProtectionN/AMemoryInternal Memory256 GBRAM8 GBCard SlotUnspecifiedPerformanceProcessorMediatek MT6769Z Helio G85GPUMali-G52 MC2BatteryTypeLi-Po 5000 mAh, non-removableCameraFront Camera32 MPFront Flash LightYesFront Video Recording1080p@30fpsBack Flash LightYesBack Camera64 MP + 2 MP + AI CamBack Video Recording1080p@30fpsConnectivityBluetoothYes3GYes4G/LTEYes5GnullRadioFM radioWiFiYesNFCNo']",https://www.daraz.pk/products/tecno-camon-20-8gb8gb-ram-256gb-rom-5000mah-battery-in-display-fingerprint-i427916270-s2054994143.html?search=1
111,112,Redmi,"Redmi Note 12s - 6.43"" Inch Display - 8GB RAM - 256GB ROM","Rs. 73,450",1.0,1,-,['1 Year Brand Warranty'],https://www.daraz.pk/products/redmi-note-12s-643-inch-display-8gb-ram-256gb-rom-i432774690-s2068485243.html?search=1
112,113,Redmi,Redmi 12C 4GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty,"Rs. 30,940",5.0,44,-,['Redmi 12C'],https://www.daraz.pk/products/4gb-12c-128gb-pta-1-i424387894-s2010688930.html?search=1
113,114,Redmi,Redmi 12C 4GB RAM + 64GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty,"Rs. 26,480",4.9,17,-,['Redmi 12C'],https://www.daraz.pk/products/4gb-12c-64gb-pta-1-i424399248-s2010703886.html?search=1
114,115,Infinix,"Infinix Note 30 RAM 8 GB ROM 256 GB Front Camera 16 MP Back Camera 64 MP + 2 MP + AI Cam Battery Type Li-Po 5000 mAh, non-removable","Rs. 46,990",4.9,27,-,"['BuildOSAndroid 13 OS UIXOS Dimensions168.6 x 76.6 x 8.6 mm Weight219 g SIMDual Sim, Dual Standby (Nano-SIM) ColorsObsidian Black, Interstellar Blue, Sunset Gold Frequency2G BandSIM1: GSM 850 / 900 / 1800 / 1900']",https://www.daraz.pk/products/30-8-gb-256-gb-16-mp-64-mp-2-mp-ai-5000-mah-i428562717-s2046479537.html?search=1
